,is_max,iteration,n_solutions,num,p1_action,p1_prior,p1_strength,p2_action,p2_prior,p2_strength,p3_action,p3_prior,p3_strength,payoff,trees
0,True,1,3,1,tree,0.566666666667,1,fish,0.466666666667,1,fish,0.466666666667,1,2,1
1,True,1,2,2,tree,0.566666666667,2,fish,0.466666666667,1,fish,0.466666666667,1,2,2
2,True,1,1,3,fish,0.566666666667,1,fish,0.466666666667,3,tree,0.466666666667,2,4,2
3,True,1,2,4,tree,0.566666669341,2,fish,0.466666663607,3,tree,0.466666670663,1,3,3
4,True,1,3,5,tree,0.566756926623,3,fish,0.466615036565,3,fish,0.466615043602,3,6,2
5,True,1,1,6,fish,0.566756926623,1,tree,0.466615036565,2,fish,0.466615043602,3,4,2
6,True,1,3,7,tree,0.566846074873,3,fish,0.466564035608,3,fish,0.466564042628,3,6,1
7,True,1,2,8,tree,0.566847514782,3,fish,0.466564035608,1,fish,0.466562394518,3,4,3
8,True,1,1,9,tree,0.566847514782,3,fish,0.466564035608,1,fish,0.466562394518,1,2,3
9,True,1,2,10,tree,0.566848954198,2,fish,0.466564035608,1,fish,0.466560746974,2,3,2
10,True,1,3,11,tree,0.567038559768,1,fish,0.419777393671,1,tree,0.519787993883,1,1,2
11,True,1,1,12,fish,0.567038559768,3,tree,0.419777393671,1,fish,0.519787993883,2,5,1
12,True,1,3,13,tree,0.568330498255,2,fish,0.419765299113,2,fish,0.51798440212,2,4,1
13,True,1,2,14,fish,0.568330498255,1,fish,0.419763641927,2,tree,0.517986533744,2,3,2
14,True,1,1,15,fish,0.568330498255,2,tree,0.419763641927,1,fish,0.517986533744,2,4,1
15,True,1,1,16,fish,0.568330498255,3,fish,0.419763641927,3,tree,0.517986533744,1,6,1
16,True,1,2,17,fish,0.568272292197,2,fish,0.419731650591,1,tree,0.518027680294,3,3,3
17,True,1,3,18,tree,0.569270786418,2,fish,0.41972123745,2,fish,0.516636335847,2,4,2
18,True,1,3,19,tree,0.570083442702,3,fish,0.419712006117,3,fish,0.515505818093,3,6,3
19,True,1,1,20,tree,0.570083442702,1,fish,0.419712006117,2,fish,0.515505818093,3,5,1
