,is_max,iteration,n_solutions,num,p1_action,p1_prior,p1_strength,p2_action,p2_prior,p2_strength,p3_action,p3_prior,p3_strength,payoff,trees
0,True,1,2,1,tree,0.55,1,fish,0.5,2,fish,0.45,1,3,1
1,True,1,3,2,tree,0.594072891457,3,fish,0.469614622324,3,fish,0.434182189203,3,6,1
2,True,1,1,3,fish,0.594072891457,3,tree,0.469614622324,2,fish,0.434182189203,3,6,2
3,True,1,2,4,tree,0.60303934894,1,fish,0.469614622324,3,fish,0.424222547093,1,4,1
4,True,1,3,5,tree,0.624004264404,2,tree,0.553884267175,2,fish,0.415633032073,2,2,2
5,True,1,1,6,fish,0.624004264404,1,tree,0.553884267175,3,fish,0.415633032073,1,2,3
6,True,1,3,7,tree,0.650054279618,3,fish,0.520136787579,3,fish,0.409955975161,3,6,3
7,True,1,2,8,tree,0.651487775176,3,fish,0.517291794383,1,fish,0.408113538759,2,3,3
8,True,1,1,9,tree,0.651487775176,1,fish,0.517291794383,3,tree,0.408113538759,1,3,2
9,True,1,3,10,tree,0.665620292072,3,fish,0.498981999149,3,fish,0.403732836497,3,6,2
10,True,1,1,11,fish,0.665620292072,3,fish,0.498981999149,3,tree,0.403732836497,2,6,1
11,True,1,2,12,tree,0.666277559063,3,fish,0.497687313182,2,fish,0.402848963511,1,3,3
12,True,1,1,13,fish,0.666277559063,3,fish,0.497687313182,3,tree,0.402848963511,1,6,1
13,True,1,3,14,tree,0.676089351154,2,fish,0.485173871915,2,fish,0.399260010265,2,4,1
14,True,1,2,15,tree,0.677612445231,3,fish,0.485173871915,1,fish,0.397159518492,3,4,3
15,False,1,3,16,tree,0.679595592339,2,tree,0.512586846647,2,tree,0.474873181527,2,0,3
16,False,1,3,16,tree,0.683029207506,2,tree,0.548616811355,2,tree,0.533126296458,2,0,3
17,False,1,3,16,tree,0.688101399711,2,tree,0.585131852554,2,tree,0.578353386902,2,0,3
18,True,1,3,16,tree,0.694938085309,2,fish,0.518567229911,2,tree,0.615337252432,2,2,3
19,True,1,2,17,fish,0.694938085309,2,fish,0.493821100174,3,tree,0.631363117592,3,5,3
20,True,1,1,18,fish,0.694938085309,3,tree,0.493821100174,1,fish,0.631363117592,3,6,1
21,True,1,1,19,tree,0.694938085309,1,fish,0.493821100174,3,fish,0.631363117592,2,5,1
22,True,1,2,20,tree,0.69827113914,1,fish,0.486703684259,1,fish,0.631363117592,2,3,1
23,True,1,3,21,tree,0.717688493155,1,fish,0.479926253081,1,fish,0.590580386391,1,2,1
24,True,1,2,22,tree,0.724392932892,2,fish,0.479926253081,3,fish,0.569724148053,2,5,1
25,True,1,3,23,tree,0.726453440082,1,fish,0.45045135244,1,tree,0.590636294138,1,1,2
26,True,1,1,24,tree,0.726453440082,1,fish,0.45045135244,2,fish,0.590636294138,3,5,1
27,True,2,3,1,fish,0.466666666667,3,tree,0.566666666667,3,fish,0.466666666667,3,6,3
28,True,2,1,2,fish,0.466666666667,2,fish,0.566666666667,3,tree,0.466666666667,1,5,1
29,False,2,2,3,fish,0.42,2,fish,0.566666666667,1,fish,0.42,2,0,2
30,True,2,2,3,tree,0.478,2,fish,0.566666666667,1,fish,0.378,2,3,2
31,True,2,2,4,fish,0.478,2,tree,0.573794652587,3,fish,0.372251216945,3,5,3
32,True,2,3,5,tree,0.555410294668,2,tree,0.600451698883,2,fish,0.366910050194,2,2,1
33,True,2,1,6,tree,0.555410294668,1,tree,0.600451698883,1,fish,0.366910050194,3,3,2
34,True,2,1,7,fish,0.555410294668,3,fish,0.600451698883,3,tree,0.366910050194,2,6,1
35,False,2,3,8,tree,0.564271962856,1,tree,0.605280256506,1,tree,0.455681033976,1,0,2
36,False,2,3,8,tree,0.581264526191,1,tree,0.61490102622,1,tree,0.524621092586,1,0,2
37,False,2,3,8,tree,0.603547745508,1,fish,0.528637895532,1,fish,0.473415225288,1,0,2
38,False,2,3,8,tree,0.613724203019,1,fish,0.456956025391,1,fish,0.430625535573,1,0,2
39,True,2,3,8,tree,0.619288781518,1,fish,0.400400578271,1,tree,0.489686217973,1,1,2
40,True,2,2,9,tree,0.623368415007,1,fish,0.395984602725,1,tree,0.489686217973,2,1,3
41,False,2,2,10,tree,0.650351172277,2,tree,0.444250224032,1,tree,0.55270186976,3,0,3
42,True,2,2,10,tree,0.670761853514,2,fish,0.381621814835,1,tree,0.615618571061,3,1,3
43,True,2,1,11,fish,0.670761853514,1,tree,0.381621814835,3,fish,0.615618571061,1,2,3
44,True,2,3,12,tree,0.692698072561,1,fish,0.379395840071,1,tree,0.671689346591,1,1,1
45,True,2,2,13,fish,0.692698072561,1,fish,0.377790988904,2,tree,0.672976626021,2,3,2
46,True,2,1,14,fish,0.692698072561,3,fish,0.377790988904,2,tree,0.672976626021,1,5,1
