,is_max,iteration,n_solutions,num,p1_action,p1_prior,p1_strength,p2_action,p2_prior,p2_strength,p3_action,p3_prior,p3_strength,payoff,trees
0,True,1,1,1,fish,0.5,1,tree,0.5,2,fish,0.5,3,4,2
1,True,1,2,2,fish,0.475,1,tree,0.525,1,fish,0.5,3,4,1
2,True,1,3,3,fish,0.467715477884,1,fish,0.496052261133,1,tree,0.535648913574,1,2,1
3,True,1,2,4,fish,0.467715477884,3,tree,0.536501716413,2,tree,0.544256157554,2,3,2
4,True,1,3,5,fish,0.464126334318,2,tree,0.564190120695,2,fish,0.516613626522,2,4,2
5,True,1,1,6,fish,0.464126334318,3,tree,0.564190120695,1,fish,0.516613626522,2,5,1
6,True,1,2,7,fish,0.464102262016,3,tree,0.564211590992,1,tree,0.516639631446,2,3,3
7,True,1,1,8,fish,0.464102262016,1,fish,0.564211590992,3,tree,0.516639631446,2,4,2
8,True,1,3,9,fish,0.461466464273,3,fish,0.524794758849,3,tree,0.55622267095,3,6,3
9,True,1,2,10,fish,0.443750668346,1,tree,0.543146699867,2,tree,0.58395959795,1,1,2
10,True,1,1,11,fish,0.443750668346,2,fish,0.543146699867,2,tree,0.58395959795,1,4,1
11,True,1,3,12,fish,0.440540029421,2,tree,0.545522602582,2,tree,0.584792001948,2,2,3
12,True,1,1,13,fish,0.440540029421,3,fish,0.545522602582,3,tree,0.584792001948,1,6,1
13,True,1,3,14,fish,0.439637246028,3,fish,0.532174393833,3,tree,0.594592303599,3,6,1
14,True,1,2,15,fish,0.439623386088,2,fish,0.532154300501,1,tree,0.594604349093,3,3,3
15,True,1,2,16,fish,0.439623386088,3,fish,0.52698124096,1,tree,0.597839147768,1,4,1
16,True,1,1,17,fish,0.439623386088,1,fish,0.52698124096,1,tree,0.597839147768,3,2,3
17,True,1,3,18,fish,0.438971022874,3,tree,0.571042473936,3,tree,0.602204431293,3,3,2
18,True,1,2,19,fish,0.438868262408,1,fish,0.571042473936,2,tree,0.602291213471,1,3,1
19,False,1,3,20,tree,0.48752601127,1,tree,0.571891174185,1,tree,0.602675681591,1,0,2
20,True,1,3,20,fish,0.481463020226,1,tree,0.575117942592,1,tree,0.604090353823,1,1,2
21,True,1,1,21,tree,0.481463020226,1,fish,0.575117942592,3,fish,0.604090353823,3,6,1
22,True,1,3,22,fish,0.479854526891,2,tree,0.607446492429,2,tree,0.615968313669,2,2,1
23,True,1,2,23,fish,0.479419476163,2,tree,0.607752040258,2,tree,0.615968313669,1,2,3
24,True,1,1,24,fish,0.479419476163,3,tree,0.607752040258,2,fish,0.615968313669,3,6,2
25,False,2,2,1,fish,0.475,2,fish,0.475,2,tree,0.5,1,0,3
26,False,2,2,1,tree,0.50125,2,tree,0.50125,2,tree,0.5,1,0,3
27,False,2,2,1,fish,0.4761875,2,fish,0.4761875,2,tree,0.5,1,0,3
28,False,2,2,1,tree,0.502378125,2,tree,0.502378125,2,tree,0.5,1,0,3
29,False,2,2,1,fish,0.47725921875,2,fish,0.47725921875,2,tree,0.5,1,0,3
30,True,2,2,1,fish,0.453396257812,2,tree,0.503396257812,2,tree,0.5,1,2,3
31,True,2,1,2,tree,0.453396257812,1,fish,0.503396257812,3,fish,0.5,2,5,1
32,True,2,3,3,fish,0.44770384593,1,tree,0.530600533859,1,tree,0.529333025086,1,1,1
33,True,2,1,4,tree,0.44770384593,1,fish,0.530600533859,3,fish,0.529333025086,3,6,1
34,True,2,2,5,fish,0.44770384593,3,fish,0.503501113222,2,tree,0.553437506535,2,5,2
35,True,2,3,6,fish,0.445504605405,2,fish,0.493972121598,2,tree,0.563685601553,2,4,1
36,True,2,2,7,fish,0.444951831027,2,fish,0.493972121598,3,tree,0.564218362031,2,5,2
37,True,2,3,8,fish,0.435224426185,2,tree,0.503743506298,2,tree,0.56577240578,2,2,3
38,True,2,1,9,tree,0.435224426185,1,fish,0.503743506298,3,tree,0.56577240578,1,3,2
39,False,2,3,10,tree,0.479146172505,1,tree,0.509720752433,1,tree,0.566975011233,1,0,2
40,False,2,3,10,tree,0.512434981329,1,tree,0.523282528786,1,tree,0.569853336193,1,0,2
41,True,2,3,10,fish,0.48692478478,1,tree,0.540969115967,1,tree,0.574617940284,1,1,2
42,True,2,2,11,fish,0.48692478478,1,fish,0.528141938735,3,tree,0.58352513199,3,4,2
43,True,2,1,12,fish,0.48692478478,3,fish,0.528141938735,3,tree,0.58352513199,2,6,2
44,True,2,1,13,fish,0.48692478478,3,tree,0.528141938735,2,fish,0.58352513199,3,6,1
45,True,2,2,14,fish,0.48636585355,1,fish,0.527484058617,1,tree,0.583946646155,2,2,2
46,True,2,3,15,fish,0.483317027783,3,fish,0.518639240421,3,tree,0.592541507103,3,6,3
47,True,2,2,16,fish,0.472932398557,3,tree,0.52895955348,3,fish,0.592541507103,2,5,3
48,True,2,3,17,fish,0.471157210367,3,fish,0.521490140173,3,tree,0.598892880035,3,6,2
49,True,2,1,18,fish,0.471157210367,2,fish,0.521490140173,2,tree,0.598892880035,3,4,3
50,True,2,1,19,fish,0.471157210367,1,fish,0.521490140173,3,tree,0.598892880035,2,4,2
